,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,YEAR,MONTH,Unnamed: 12
11774,4.0,366.0,13Q,Chartright Air Inc.,12478,JFK,"New York, NY",16271,YYZ,"Toronto, Canada",2021,7,
11775,4.0,408.0,13Q,Chartright Air Inc.,11728,FOK,"Westhampton, NY",16271,YYZ,"Toronto, Canada",2021,7,
11776,4.0,801.0,13Q,Chartright Air Inc.,16271,YYZ,"Toronto, Canada",14685,SAV,"Savannah, GA",2021,7,
11777,4.0,1193.0,13Q,Chartright Air Inc.,16271,YYZ,"Toronto, Canada",10519,BCT,"Boca Raton, FL",2021,7,
11778,4.0,1390.0,13Q,Chartright Air Inc.,16271,YYZ,"Toronto, Canada",14670,SAA,"Saratoga, WY",2021,7,
11779,4.0,319.0,13Q,Chartright Air Inc.,15167,TEB,"Teterboro, NJ",16217,YUL,"Montreal, Canada",2021,7,
11780,4.0,1205.0,13Q,Chartright Air Inc.,11827,FXE,"Fort Lauderdale, FL",16271,YYZ,"Toronto, Canada",2021,7,
11781,4.0,794.0,13Q,Chartright Air Inc.,16229,YVR,"Vancouver, Canada",13796,OAK,"Oakland, CA",2021,7,
11782,4.0,801.0,13Q,Chartright Air Inc.,14685,SAV,"Savannah, GA",16271,YYZ,"Toronto, Canada",2021,7,
11783,4.0,319.0,13Q,Chartright Air Inc.,15070,SWF,"Newburgh/Poughkeepsie, NY",16271,YYZ,"Toronto, Canada",2021,7,
11784,4.0,310.0,13Q,Chartright Air Inc.,16061,YGK,"Kingston, Canada",10721,BOS,"Boston, MA",2021,7,
11785,4.0,1299.0,13Q,Chartright Air Inc.,15304,TPA,"Tampa, FL",16217,YUL,"Montreal, Canada",2021,7,
11786,4.0,1390.0,13Q,Chartright Air Inc.,14670,SAA,"Saratoga, WY",16271,YYZ,"Toronto, Canada",2021,7,
11787,4.0,1048.0,13Q,Chartright Air Inc.,13936,ORL,"Orlando, FL",16271,YYZ,"Toronto, Canada",2021,7,
11788,4.0,319.0,13Q,Chartright Air Inc.,16149,YOW,"Ottawa, Canada",15167,TEB,"Teterboro, NJ",2021,7,
11789,4.0,5923.0,VJT,VistaJet Limited,12892,LAX,"Los Angeles, CA",12026,GVA,"Geneva, Switzerland",2021,7,
